SSID;BSSID
2018-02-04 16:45:46.264264;FreeWifi;4e:28:e3:82:8e:ca
2018-02-04 16:45:46.264271;Freebox-9561CE;00:24:d4:95:61:cf
2018-02-04 16:45:46.264274;Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c
2018-02-04 16:45:46.264278;FreeWifi;68:a3:78:ad:9e:51
2018-02-04 16:45:46.264284;FreeWifi;f4:ca:e5:d2:f2:0d
2018-02-04 16:45:46.264291;SFR-31d0;f4:6b:ef:65:31:d6
2018-02-04 16:45:46.264298;Freeclh13;4e:28:e3:82:8e:c8
2018-02-04 16:45:46.264301;FreeWifi_secure;00:24:d4:95:61:d1
2018-02-04 16:45:46.264307;Livebox-933A;00:37:b7:95:93:3b
2018-02-04 16:45:46.264311;freebox_HUGUTI_2GEXT;b0:b9:8a:4d:bd:c5
2018-02-04 16:45:46.264315;FreeWifi_secure;68:a3:78:63:40:a6
2018-02-04 16:45:46.264320;Chezjul;f4:ca:e5:dd:79:18
2018-02-04 16:45:46.264327;Bbox-109AD9;00:1f:9f:bd:e3:5d
2018-02-04 16:45:46.264333;SFR-2017;44:e9:dd:ed:d8:3e
2018-02-04 16:45:46.264336;Livebox-acb4;d0:ae:ec:4b:87:02
2018-02-04 16:45:46.264339;orange;12:7c:b2:14:54:e3
2018-02-04 16:45:46.264342;Livebox-54E3;30:7c:b2:14:54:e3
2018-02-04 16:45:46.264345;ACCES G7;30:5a:3a:94:67:11
2018-02-04 16:45:46.264348;Bbox-7887CADF;e8:be:81:aa:9f:10
2018-02-04 16:45:46.264353;Bbox-C974D670;f8:ab:05:06:45:a0
2018-02-04 16:45:46.264359;Livebox-rollin's;2c:39:96:49:d3:c6
2018-02-04 16:45:46.264363;FreeWifi_secure;f4:ca:e5:f9:c6:7e
2018-02-04 16:45:46.264366;Bbox-F92A10;00:1f:9f:bf:09:69
2018-02-04 16:45:46.264369;Coloc-Soupe;6c:38:a1:5a:dd:78
2018-02-04 16:45:46.264372;FreeWifi;f4:ca:e5:f9:c6:7d
2018-02-04 16:45:46.264375;Freebox-4363F5;f4:ca:e5:f9:c6:7c
2018-02-04 16:45:46.264378;SFR-5b10;a4:08:f5:c9:5b:16
2018-02-04 16:45:46.264381;Bbox-41AA8A4E;64:7c:34:d0:e4:cc
2018-02-04 16:45:46.264384;SFR-5b10_5GHz;a4:08:f5:c9:5b:17
2018-02-04 16:45:46.264387;Bbox-C974D670-5GHz;00:26:86:1e:38:5e2018-02-04 16:46:05.294046;Bbox-41AA8A4E-5GHz;64:7c:34:d0:e4:d0
2018-02-04 16:46:05.294082;Bbox-10C10234;3c:81:d8:75:65:90
2018-02-04 16:46:05.294090;Freebox-4D4941;f4:ca:e5:d2:f2:0c
2018-02-04 16:46:05.294097;FreeWifi;4e:28:e3:82:8e:ca
2018-02-04 16:46:05.294103;Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c
2018-02-04 16:46:05.294106;FreeWifi;f4:ca:e5:d2:f2:0d
2018-02-04 16:46:05.294110;SFR-31d0;f4:6b:ef:65:31:d6
2018-02-04 16:46:05.294115;Freeclh13;4e:28:e3:82:8e:c8
2018-02-04 16:46:05.294122;Livebox-933A;00:37:b7:95:93:3b
2018-02-04 16:46:05.294125;Bbox-41AA8A4E;64:7c:34:d0:e4:cc
2018-02-04 16:46:05.294128;Freebox-4363F5;f4:ca:e5:f9:c6:7c
2018-02-04 16:46:05.294131;FreeWifi;f4:ca:e5:f9:c6:7d
2018-02-04 16:46:05.294135;Coloc-Soupe;6c:38:a1:5a:dd:78
2018-02-04 16:46:05.294141;FreeWifi_secure;f4:ca:e5:f9:c6:7e
2018-02-04 16:46:05.294147;Bbox-7887CADF;e8:be:81:aa:9f:10
2018-02-04 16:46:05.294154;ACCES G7;30:5a:3a:94:67:11
2018-02-04 16:46:05.294158;Livebox-54E3;30:7c:b2:14:54:e3
2018-02-04 16:46:05.294161;orange;12:7c:b2:14:54:e3
2018-02-04 16:46:05.294164;Livebox-acb4;d0:ae:ec:4b:87:02
2018-02-04 16:46:05.294167;freebox_HUGUTI_2GEXT;b0:b9:8a:4d:bd:c5
2018-02-04 16:46:05.294171;FreeWifi_secure;00:24:d4:95:61:d1
2018-02-04 16:46:05.294175;FreeWifi_secure;92:25:72:72:89:fa
2018-02-04 16:46:05.294181;FreeWifi;00:24:d4:95:61:d0
2018-02-04 16:46:05.294187;Freebox-9561CE;00:24:d4:95:61:cf
2018-02-04 16:46:05.294192;FreeWifi_secure;68:a3:78:63:40:a6
2018-02-04 16:46:05.294195;Chezjul;f4:ca:e5:dd:79:18
2018-02-04 16:46:05.294198;FreeWifi_secure;f4:ca:e5:dd:79:1a
2018-02-04 16:46:05.294201;Bbox-109AD9;00:1f:9f:bd:e3:5d
2018-02-04 16:46:05.294204;SFR-2017;44:e9:dd:ed:d8:3e
2018-02-04 16:46:05.294208;Livebox-1DC6;b8:26:6c:58:1d:c6
2018-02-04 16:46:05.294214;FreeWifi;68:a3:78:ad:9e:51
2018-02-04 16:46:05.294223;Freebox-52F5C0;68:a3:78:ad:9e:50
2018-02-04 16:46:05.294227;Bbox-C974D670;f8:ab:05:06:45:a0
2018-02-04 16:46:05.294230;SFR-5b10;a4:08:f5:c9:5b:16
2018-02-04 16:46:05.294233;Livebox-rollin's;2c:39:96:49:d3:c6
2018-02-04 16:46:05.294236;Bbox-F92A10;00:1f:9f:bf:09:69
2018-02-04 16:46:05.294239;SFR-5b10_5GHz;a4:08:f5:c9:5b:17
2018-02-04 16:46:05.294242;Bbox-C974D670-5GHz;00:26:86:1e:38:5e2018-02-04 16:46:24.333023;SFR-31d0;f4:6b:ef:65:31:d6
2018-02-04 16:46:24.333063;Freeclh13;4e:28:e3:82:8e:c8
2018-02-04 16:46:24.333074;Livebox-933A;00:37:b7:95:93:3b
2018-02-04 16:46:24.333082;Bbox-41AA8A4E;64:7c:34:d0:e4:cc
2018-02-04 16:46:24.333089;Freebox-4363F5;f4:ca:e5:f9:c6:7c
2018-02-04 16:46:24.333096;Bbox-7887CADF;e8:be:81:aa:9f:10
2018-02-04 16:46:24.333103;ACCES G7;30:5a:3a:94:67:11
2018-02-04 16:46:24.333110;Livebox-54E3;30:7c:b2:14:54:e3
2018-02-04 16:46:24.333118;freebox_HUGUTI_2GEXT;b0:b9:8a:4d:bd:c5
2018-02-04 16:46:24.333125;Freebox-52F5C0;68:a3:78:ad:9e:50
2018-02-04 16:46:24.333131;FreeWifi;68:a3:78:ad:9e:51
2018-02-04 16:46:24.333138;FreeWifi_secure;f4:ca:e5:dd:79:1a
2018-02-04 16:46:24.333144;Chezjul;f4:ca:e5:dd:79:18
2018-02-04 16:46:24.333151;FreeWifi_secure;68:a3:78:63:40:a6
2018-02-04 16:46:24.333158;FreeWifi;00:24:d4:95:61:d0
2018-02-04 16:46:24.333165;FreeWifi_secure;00:24:d4:95:61:d1
2018-02-04 16:46:24.333168;FreeWifi_secure;92:25:72:72:89:fa
2018-02-04 16:46:24.333175;FreeWifi;92:25:72:72:89:f9
2018-02-04 16:46:24.333181;freebox_HUGUTI;92:25:72:72:89:f8
2018-02-04 16:46:24.333187;Freebox-9561CE;00:24:d4:95:61:cf
2018-02-04 16:46:24.333194;FreeWifi_secure;4e:28:e3:82:8e:cb
2018-02-04 16:46:24.333201;orange;9a:26:6c:43:da:e4
2018-02-04 16:46:24.333208;Livebox-DAE4;b8:26:6c:43:da:e4
2018-02-04 16:46:24.333215;freeRaf;68:a3:78:63:40:a4
2018-02-04 16:46:24.333222;Bbox-109AD9;00:1f:9f:bd:e3:5d
2018-02-04 16:46:24.333229;SFR-2017;44:e9:dd:ed:d8:3e
2018-02-04 16:46:24.333235;FreeWifi;f4:ca:e5:d2:f2:0d
2018-02-04 16:46:24.333242;Freebox-4D4941;f4:ca:e5:d2:f2:0c
2018-02-04 16:46:24.333249;Livebox-1DC6;b8:26:6c:58:1d:c6
2018-02-04 16:46:24.333255;Livebox-67B0;b8:26:6c:f0:67:b0
2018-02-04 16:46:24.333260;orange;12:7c:b2:14:54:e3
2018-02-04 16:46:24.333273;orange;d6:ae:ec:4b:87:02
2018-02-04 16:46:24.333281;Livebox-acb4;d0:ae:ec:4b:87:02
2018-02-04 16:46:24.333284;Bbox-A7A59B42;dc:71:44:eb:fa:f8
2018-02-04 16:46:24.333287;Coloc-Soupe;6c:38:a1:5a:dd:78
2018-02-04 16:46:24.333290;FreeWifi_secure;f4:ca:e5:f9:c6:7e
2018-02-04 16:46:24.333293;FreeWifi;f4:ca:e5:f9:c6:7d
2018-02-04 16:46:24.333298;Bbox-C974D670;f8:ab:05:06:45:a0
2018-02-04 16:46:24.333304;Livebox-rollin's;2c:39:96:49:d3:c6
2018-02-04 16:46:24.333311;SFR-5b10;a4:08:f5:c9:5b:16
2018-02-04 16:46:24.333318;Bbox-F92A10;00:1f:9f:bf:09:69
2018-02-04 16:46:24.333329;Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c
2018-02-04 16:46:24.333337;SFR-5b10_5GHz;a4:08:f5:c9:5b:17
2018-02-04 16:46:24.333344;Bbox-C974D670-5GHz;00:26:86:1e:38:5e2018-02-04 16:46:43.353073;Bbox-41AA8A4E;64:7c:34:d0:e4:cc
2018-02-04 16:46:43.353114;Freebox-4363F5;f4:ca:e5:f9:c6:7c
2018-02-04 16:46:43.353120;Bbox-7887CADF;e8:be:81:aa:9f:10
2018-02-04 16:46:43.353123;ACCES G7;30:5a:3a:94:67:11
2018-02-04 16:46:43.353127;Livebox-54E3;30:7c:b2:14:54:e3
2018-02-04 16:46:43.353130;freebox_HUGUTI_2GEXT;b0:b9:8a:4d:bd:c5
2018-02-04 16:46:43.353133;FreeWifi;68:a3:78:ad:9e:51
2018-02-04 16:46:43.353136;FreeWifi_secure;f4:ca:e5:dd:79:1a
2018-02-04 16:46:43.353139;Chezjul;f4:ca:e5:dd:79:18
2018-02-04 16:46:43.353142;FreeWifi_secure;68:a3:78:63:40:a6
2018-02-04 16:46:43.353146;FreeWifi;00:24:d4:95:61:d0
2018-02-04 16:46:43.353149;FreeWifi_secure;00:24:d4:95:61:d1
2018-02-04 16:46:43.353152;FreeWifi;f4:ca:e5:f9:c6:7d
2018-02-04 16:46:43.353155;FreeWifi_secure;f4:ca:e5:f9:c6:7e
2018-02-04 16:46:43.353158;Bbox-A7A59B42;dc:71:44:eb:fa:f8
2018-02-04 16:46:43.353161;orange;12:7c:b2:14:54:e3
2018-02-04 16:46:43.353164;Livebox-67B0;b8:26:6c:f0:67:b0
2018-02-04 16:46:43.353168;Livebox-1DC6;b8:26:6c:58:1d:c6
2018-02-04 16:46:43.353171;Freebox-4D4941;f4:ca:e5:d2:f2:0c
2018-02-04 16:46:43.353174;freeRaf;68:a3:78:63:40:a4
2018-02-04 16:46:43.353177;Livebox-DAE4;b8:26:6c:43:da:e4
2018-02-04 16:46:43.353184;orange;9a:26:6c:43:da:e4
2018-02-04 16:46:43.353191;FreeWifi_secure;4e:28:e3:82:8e:cb
2018-02-04 16:46:43.353198;Freebox-9561CE;00:24:d4:95:61:cf
2018-02-04 16:46:43.353204;freebox_HUGUTI;92:25:72:72:89:f8
2018-02-04 16:46:43.353208;FreeWifi;92:25:72:72:89:f9
2018-02-04 16:46:43.353211;FreeWifi_secure;92:25:72:72:89:fa
2018-02-04 16:46:43.353214;FreeWifi;4e:28:e3:82:8e:ca
2018-02-04 16:46:43.353217;Bbox-109AD9;00:1f:9f:bd:e3:5d
2018-02-04 16:46:43.353220;SFR-2017;44:e9:dd:ed:d8:3e
2018-02-04 16:46:43.353227;Freebox-52F5C0;68:a3:78:ad:9e:50
2018-02-04 16:46:43.353231;FreeWifi;f4:ca:e5:d2:f2:0d
2018-02-04 16:46:43.353234;SFR-a430_EXT;b0:7f:b9:44:3a:aa
2018-02-04 16:46:43.353237;orange;d6:ae:ec:4b:87:02
2018-02-04 16:46:43.353243;Livebox-acb4;d0:ae:ec:4b:87:02
2018-02-04 16:46:43.353252;orange;9a:26:6c:f0:67:b0
2018-02-04 16:46:43.353257;Coloc-Soupe;6c:38:a1:5a:dd:78
2018-02-04 16:46:43.353260;Bbox-C974D670;f8:ab:05:06:45:a0
2018-02-04 16:46:43.353263;SFR-5b10;a4:08:f5:c9:5b:16
2018-02-04 16:46:43.353266;Livebox-rollin's;2c:39:96:49:d3:c6
2018-02-04 16:46:43.353269;Bbox-F92A10;00:1f:9f:bf:09:69
2018-02-04 16:46:43.353276;Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c
2018-02-04 16:46:43.353283;SFR-5b10_5GHz;a4:08:f5:c9:5b:17
2018-02-04 16:46:43.353287;Bbox-C974D670-5GHz;00:26:86:1e:38:5e2018-02-04 16:50:10.781851;FreeWifi;00:24:d4:95:61:d0
2018-02-04 16:50:10.781896;FreeWifi;68:a3:78:63:40:a5
2018-02-04 16:50:10.781901;Bbox-109AD9;00:1f:9f:bd:e3:5d
2018-02-04 16:50:10.781905;SFR-31d0;f4:6b:ef:65:31:d6
2018-02-04 16:50:10.781912;SFR-2017;44:e9:dd:ed:d8:3e
2018-02-04 16:50:10.781916;Livebox-54E3;30:7c:b2:14:54:e3
2018-02-04 16:50:10.781919;SFR-a430_EXT;b0:7f:b9:44:3a:aa
2018-02-04 16:50:10.781923;FreeWifi;68:a3:78:ad:9e:51
2018-02-04 16:50:10.781928;Bbox-7887CADF;e8:be:81:aa:9f:10
2018-02-04 16:50:10.781935;Livebox-67B0;b8:26:6c:f0:67:b0
2018-02-04 16:50:10.781941;Bbox-C974D670;f8:ab:05:06:45:a0
2018-02-04 16:50:10.781945;Gayl_Vahan;2e:90:48:12:e9:14
2018-02-04 16:50:10.781948;SFR-5b10;a4:08:f5:c9:5b:16
2018-02-04 16:50:10.781952;Bbox-F92A10;00:1f:9f:bf:09:69
2018-02-04 16:50:10.781955;SFR-5b10_5GHz;a4:08:f5:c9:5b:17
2018-02-04 16:50:10.781958;Bbox-C974D670-5GHz;00:26:86:1e:38:5e2018-02-04 16:50:29.798867;Gayl_Vahan;2e:90:48:12:e9:14
2018-02-04 16:50:29.798906;Livebox-67B0;b8:26:6c:f0:67:b0
2018-02-04 16:50:29.798915;Bbox-7887CADF;e8:be:81:aa:9f:10
2018-02-04 16:50:29.798921;FreeWifi;68:a3:78:ad:9e:51
2018-02-04 16:50:29.798927;SFR-a430_EXT;b0:7f:b9:44:3a:aa
2018-02-04 16:50:29.798933;FreeWifi;68:a3:78:63:40:a5
2018-02-04 16:50:29.798939;FreeWifi;00:24:d4:95:61:d0
2018-02-04 16:50:29.798945;freeRaf;68:a3:78:63:40:a4
2018-02-04 16:50:29.798952;SFR-31d0;f4:6b:ef:65:31:d6
2018-02-04 16:50:29.798958;Bbox-109AD9;00:1f:9f:bd:e3:5d
2018-02-04 16:50:29.798964;SFR-2017;44:e9:dd:ed:d8:3e
2018-02-04 16:50:29.798970;Livebox-acb4;d0:ae:ec:4b:87:02
2018-02-04 16:50:29.798983;Livebox-54E3;30:7c:b2:14:54:e3
2018-02-04 16:50:29.798991;Freebox-52F5C0;68:a3:78:ad:9e:50
2018-02-04 16:50:29.798994;SFR-6230;a4:08:f5:c9:62:36
2018-02-04 16:50:29.798999;Bbox-A7A59B42;dc:71:44:eb:fa:f8
2018-02-04 16:50:29.799002;FreeWifi_secure;f4:ca:e5:f9:c6:7e
2018-02-04 16:50:29.799005;Livebox-rollin's;2c:39:96:49:d3:c6
2018-02-04 16:50:29.799008;Numericable-1a68;54:64:d9:50:1a:6e
2018-02-04 16:50:29.799011;Bbox-C974D670;f8:ab:05:06:45:a0
2018-02-04 16:50:29.799016;SFR-5b10;a4:08:f5:c9:5b:16
2018-02-04 16:50:29.799023;Bbox-F92A10;00:1f:9f:bf:09:69
2018-02-04 16:50:29.799029;SFR-5b10_5GHz;a4:08:f5:c9:5b:17
2018-02-04 16:50:29.799032;Bbox-C974D670-5GHz;00:26:86:1e:38:5e2018-02-04 16:50:48.828633;Gayl_Vahan;2e:90:48:12:e9:14
2018-02-04 16:50:48.828670;Bbox-7887CADF;e8:be:81:aa:9f:10
2018-02-04 16:50:48.828680;FreeWifi;68:a3:78:ad:9e:51
2018-02-04 16:50:48.828685;SFR-a430_EXT;b0:7f:b9:44:3a:aa
2018-02-04 16:50:48.828688;FreeWifi;68:a3:78:63:40:a5
2018-02-04 16:50:48.828695;FreeWifi;00:24:d4:95:61:d0
2018-02-04 16:50:48.828699;Numericable-1a68;54:64:d9:50:1a:6e
2018-02-04 16:50:48.828705;FreeWifi_secure;f4:ca:e5:f9:c6:7e
2018-02-04 16:50:48.828712;Bbox-A7A59B42;dc:71:44:eb:fa:f8
2018-02-04 16:50:48.828717;SFR-6230;a4:08:f5:c9:62:36
2018-02-04 16:50:48.828720;Freebox-52F5C0;68:a3:78:ad:9e:50
2018-02-04 16:50:48.828723;Livebox-acb4;d0:ae:ec:4b:87:02
2018-02-04 16:50:48.828726;SFR-31d0;f4:6b:ef:65:31:d6
2018-02-04 16:50:48.828730;freeRaf;68:a3:78:63:40:a4
2018-02-04 16:50:48.828733;FreeWifi;92:25:72:72:89:f9
2018-02-04 16:50:48.828739;freebox_HUGUTI;92:25:72:72:89:f8
2018-02-04 16:50:48.828745;FreeWifi_secure;68:a3:78:63:40:a6
2018-02-04 16:50:48.828752;Bbox-109AD9;00:1f:9f:bd:e3:5d
2018-02-04 16:50:48.828756;SFR-2017;44:e9:dd:ed:d8:3e
2018-02-04 16:50:48.828761;Livebox-67B0;b8:26:6c:f0:67:b0
2018-02-04 16:50:48.828767;Livebox-54E3;30:7c:b2:14:54:e3
2018-02-04 16:50:48.828774;orange;12:7c:b2:14:54:e3
2018-02-04 16:50:48.828780;Bear&Farmer;6c:38:a1:23:b7:48
2018-02-04 16:50:48.828784;Bbox-C974D670;f8:ab:05:06:45:a0
2018-02-04 16:50:48.828787;Livebox-rollin's;2c:39:96:49:d3:c6
2018-02-04 16:50:48.828790;SFR-5b10;a4:08:f5:c9:5b:16
2018-02-04 16:50:48.828793;Bbox-F92A10;00:1f:9f:bf:09:69
2018-02-04 16:50:48.828795;Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c
2018-02-04 16:50:48.828799;SFR-5b10_5GHz;a4:08:f5:c9:5b:17
2018-02-04 16:50:48.828804;Bbox-C974D670-5GHz;00:26:86:1e:38:5e2018-02-04 16:51:07.844177;Gayl_Vahan;2e:90:48:12:e9:14
2018-02-04 16:51:07.844209;Bbox-7887CADF;e8:be:81:aa:9f:10
2018-02-04 16:51:07.844215;SFR-a430_EXT;b0:7f:b9:44:3a:aa
2018-02-04 16:51:07.844221;FreeWifi;00:24:d4:95:61:d0
2018-02-04 16:51:07.844229;Numericable-1a68;54:64:d9:50:1a:6e
2018-02-04 16:51:07.844254;FreeWifi_secure;f4:ca:e5:f9:c6:7e
2018-02-04 16:51:07.844271;Bbox-A7A59B42;dc:71:44:eb:fa:f8
2018-02-04 16:51:07.844276;SFR-6230;a4:08:f5:c9:62:36
2018-02-04 16:51:07.844279;Freebox-52F5C0;68:a3:78:ad:9e:50
2018-02-04 16:51:07.844283;Livebox-acb4;d0:ae:ec:4b:87:02
2018-02-04 16:51:07.844286;Bbox-C974D670;f8:ab:05:06:45:a0
2018-02-04 16:51:07.844289;Bear&Farmer;6c:38:a1:23:b7:48
2018-02-04 16:51:07.844292;Livebox-67B0;b8:26:6c:f0:67:b0
2018-02-04 16:51:07.844295;FreeWifi_secure;68:a3:78:63:40:a6
2018-02-04 16:51:07.844298;freebox_HUGUTI;92:25:72:72:89:f8
2018-02-04 16:51:07.844301;FreeWifi;92:25:72:72:89:f9
2018-02-04 16:51:07.844305;FreeWifi;68:a3:78:63:40:a5
2018-02-04 16:51:07.844308;SFR_4630;30:7e:cb:40:46:34
2018-02-04 16:51:07.844311;SFR-31d0;f4:6b:ef:65:31:d6
2018-02-04 16:51:07.844314;freeRaf;68:a3:78:63:40:a4
2018-02-04 16:51:07.844317;Bbox-109AD9;00:1f:9f:bd:e3:5d
2018-02-04 16:51:07.844321;SFR-2017;44:e9:dd:ed:d8:3e
2018-02-04 16:51:07.844324;FreeWifi;68:a3:78:ad:9e:51
2018-02-04 16:51:07.844327;SFR-a430;40:65:a3:02:a4:36
2018-02-04 16:51:07.844330;Livebox-54E3;30:7c:b2:14:54:e3
2018-02-04 16:51:07.844333;orange;12:7c:b2:14:54:e3
2018-02-04 16:51:07.844336;Livebox-rollin's;2c:39:96:49:d3:c6
2018-02-04 16:51:07.844341;Bbox-F92A10;00:1f:9f:bf:09:69
2018-02-04 16:51:07.844347;SFR-5b10;a4:08:f5:c9:5b:16
2018-02-04 16:51:07.844354;Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c
2018-02-04 16:51:07.844362;Bbox-41AA8A4E-5GHz;64:7c:34:d0:e4:d0
2018-02-04 16:51:07.844365;SFR-5b10_5GHz;a4:08:f5:c9:5b:17
2018-02-04 16:51:07.844368;Bbox-C974D670-5GHz;00:26:86:1e:38:5e2018-02-04 16:51:26.845076;Numericable-1a68;54:64:d9:50:1a:6e
2018-02-04 16:51:26.845123;FreeWifi_secure;f4:ca:e5:f9:c6:7e
2018-02-04 16:51:26.845134;Bbox-A7A59B42;dc:71:44:eb:fa:f8
2018-02-04 16:51:26.845143;SFR-6230;a4:08:f5:c9:62:36
2018-02-04 16:51:26.845150;Bbox-C974D670;f8:ab:05:06:45:a0
2018-02-04 16:51:26.845158;Bear&Farmer;6c:38:a1:23:b7:48
2018-02-04 16:51:26.845165;Livebox-67B0;b8:26:6c:f0:67:b0
2018-02-04 16:51:26.845173;FreeWifi_secure;68:a3:78:63:40:a6
2018-02-04 16:51:26.845180;freebox_HUGUTI;92:25:72:72:89:f8
2018-02-04 16:51:26.845188;FreeWifi;92:25:72:72:89:f9
2018-02-04 16:51:26.845196;Bbox-41AA8A4E-5GHz;64:7c:34:d0:e4:d0
2018-02-04 16:51:26.845207;Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c
2018-02-04 16:51:26.845216;SFR-a430;40:65:a3:02:a4:36
2018-02-04 16:51:26.845228;FreeWifi;68:a3:78:ad:9e:51
2018-02-04 16:51:26.845236;freeRaf;68:a3:78:63:40:a4
2018-02-04 16:51:26.845243;SFR_4630;30:7e:cb:40:46:34
2018-02-04 16:51:26.845250;FreeWifi;68:a3:78:63:40:a5
2018-02-04 16:51:26.845257;FreeWifi_secure;00:24:d4:95:61:d1
2018-02-04 16:51:26.845263;freebox_HUGUTI_2GEXT;b0:b9:8a:4d:bd:c5
2018-02-04 16:51:26.845270;SFR-31d0;f4:6b:ef:65:31:d6
2018-02-04 16:51:26.845276;Bbox-109AD9;00:1f:9f:bd:e3:5d
2018-02-04 16:51:26.845283;SFR-2017;44:e9:dd:ed:d8:3e
2018-02-04 16:51:26.845290;FreeWifi_secure;68:a3:78:ad:9e:52
2018-02-04 16:51:26.845296;Freebox-52F5C0;68:a3:78:ad:9e:50
2018-02-04 16:51:26.845303;Livebox-acb4;d0:ae:ec:4b:87:02
2018-02-04 16:51:26.845310;FreeWifi;f4:ca:e5:d2:f2:0d
2018-02-04 16:51:26.845317;Bbox-7887CADF;e8:be:81:aa:9f:10
2018-02-04 16:51:26.845324;orange;12:7c:b2:14:54:e3
2018-02-04 16:51:26.845331;Livebox-54E3;30:7c:b2:14:54:e3
2018-02-04 16:51:26.845338;Livebox-rollin's;2c:39:96:49:d3:c6
2018-02-04 16:51:26.845345;Bbox-F92A10;00:1f:9f:bf:09:69
2018-02-04 16:51:26.845352;SFR-5b10;a4:08:f5:c9:5b:16
2018-02-04 16:51:26.845366;SFR-5b10_5GHz;a4:08:f5:c9:5b:17
2018-02-04 16:51:26.845375;Bbox-C974D670-5GHz;00:26:86:1e:38:5e2018-02-04 16:51:45.867479;Bbox-C974D670;f8:ab:05:06:45:a0
2018-02-04 16:51:45.867526;Bear&Farmer;6c:38:a1:23:b7:48
2018-02-04 16:51:45.867536;FreeWifi_secure;68:a3:78:63:40:a6
2018-02-04 16:51:45.867542;Bbox-41AA8A4E-5GHz;64:7c:34:d0:e4:d0
2018-02-04 16:51:45.867553;SFR-a430;40:65:a3:02:a4:36
2018-02-04 16:51:45.867562;freeRaf;68:a3:78:63:40:a4
2018-02-04 16:51:45.867568;SFR_4630;30:7e:cb:40:46:34
2018-02-04 16:51:45.867575;FreeWifi;68:a3:78:63:40:a5
2018-02-04 16:51:45.867581;Livebox-54E3;30:7c:b2:14:54:e3
2018-02-04 16:51:45.867588;Bbox-7887CADF;e8:be:81:aa:9f:10
2018-02-04 16:51:45.867593;FreeWifi;f4:ca:e5:d2:f2:0d
2018-02-04 16:51:45.867597;FreeWifi_secure;68:a3:78:ad:9e:52
2018-02-04 16:51:45.867600;freebox_HUGUTI_2GEXT;b0:b9:8a:4d:bd:c5
2018-02-04 16:51:45.867603;FreeWifi_secure;00:24:d4:95:61:d1
2018-02-04 16:51:45.867606;FreeWifi;92:25:72:72:89:f9
2018-02-04 16:51:45.867610;freebox_HUGUTI;92:25:72:72:89:f8
2018-02-04 16:51:45.867615;SFR-31d0;f4:6b:ef:65:31:d6
2018-02-04 16:51:45.867623;Bbox-109AD9;00:1f:9f:bd:e3:5d
2018-02-04 16:51:45.867627;SFR-2017;44:e9:dd:ed:d8:3e
2018-02-04 16:51:45.867630;FreeWifi_secure;f4:ca:e5:d2:f2:0e
2018-02-04 16:51:45.867636;FreeWifi;68:a3:78:ad:9e:51
2018-02-04 16:51:45.867643;Freebox-52F5C0;68:a3:78:ad:9e:50
2018-02-04 16:51:45.867650;orange;d6:ae:ec:4b:87:02
2018-02-04 16:51:45.867657;Livebox-acb4;d0:ae:ec:4b:87:02
2018-02-04 16:51:45.867661;orange;12:7c:b2:14:54:e3
2018-02-04 16:51:45.867664;Livebox-67B0;b8:26:6c:f0:67:b0
2018-02-04 16:51:45.867668;Livebox-rollin's;2c:39:96:49:d3:c6
2018-02-04 16:51:45.867671;SFR-5b10;a4:08:f5:c9:5b:16
2018-02-04 16:51:45.867675;Bbox-F92A10;00:1f:9f:bf:09:69
2018-02-04 16:51:45.867681;Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c
2018-02-04 16:51:45.867689;SFR-5b10_5GHz;a4:08:f5:c9:5b:17
2018-02-04 16:51:45.867693;Bbox-C974D670-5GHz;00:26:86:1e:38:5e2018-02-04 16:51:54.923041;Bbox-41AA8A4E-5GHz;64:7c:34:d0:e4:d0;
2018-02-04 16:51:54.923041;SFR-a430;40:65:a3:02:a4:36;
2018-02-04 16:51:54.923041;freeRaf;68:a3:78:63:40:a4;
2018-02-04 16:51:54.923041;SFR_4630;30:7e:cb:40:46:34;
2018-02-04 16:51:54.923041;Bbox-7887CADF;e8:be:81:aa:9f:10;
2018-02-04 16:51:54.923041;FreeWifi;f4:ca:e5:d2:f2:0d;
2018-02-04 16:51:54.923041;freebox_HUGUTI_2GEXT;b0:b9:8a:4d:bd:c5;
2018-02-04 16:51:54.923041;FreeWifi_secure;00:24:d4:95:61:d1;
2018-02-04 16:51:54.923041;Coloc-Soupe-5GHz;6c:38:a1:5a:dd:7c;
2018-02-04 16:51:54.923041;Livebox-67B0;b8:26:6c:f0:67:b0;
2018-02-04 16:51:54.923041;Livebox-acb4;d0:ae:ec:4b:87:02;
2018-02-04 16:51:54.923041;orange;d6:ae:ec:4b:87:02;
2018-02-04 16:51:54.923041;SFR-31d0;f4:6b:ef:65:31:d6;
2018-02-04 16:51:54.923041;freebox_HUGUTI;92:25:72:72:89:f8;
2018-02-04 16:51:54.923041;FreeWifi;92:25:72:72:89:f9;
2018-02-04 16:51:54.923041;FreeWifi;68:a3:78:63:40:a5;
